,about,abv,apparence_avg,apparence_med,aroma_avg,aroma_med,beer_style,beer_url,brewer,est_cal,ibu,name,overall,overall_reviews,overall_reviews_med,palate_avg,palate_med,photo_url,rating_num,score,style,taste_avg,taste_med
1,No description available,7.1%,3.0,3.0,6.0,6.0,India Pale Ale (IPA),https://www.ratebeer.com/beer/aeon-cervejaria-gol-da-alemanha/530065/,Aeon Cervejaria,213,71,Aeon Cervejaria Gol da Alemanha,-,13.0,13.0,3.0,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_530065",1,2.98/5,-,7.0,7.0
2,"Uma IPA deliciosa, leve turbidez e espuma cremosa. Medalha de bronze no quarto concurso Mestre Cervejeiro da Eisebahn",6.4%,4.0,4.0,8.5,8.5,India Pale Ale (IPA),https://www.ratebeer.com/beer/aeon-cervejaria-mangifera-ipa/401362/,Aeon Cervejaria,192,54,Aeon Cervejaria Mangífera IPA,-,15.0,15.0,4.0,4.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_401362",1,3.00/5,-,7.5,7.5
3,"A Mangifera é uma Indian Pale Ale de cor âmbar, com leve turbidez e espuma cremosa. Os lúpulos americanos são o destaque desta cerveja, conferindo aromas e sabores cítricos e de frutas tropicais, como a manga.",4.8%,3.0,3.0,7.0,7.0,Session IPA,https://www.ratebeer.com/beer/aeon-cervejaria-session-ipa/401363/,Aeon Cervejaria,144,40,Aeon Cervejaria Session IPA,-,14.0,14.0,3.0,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_401363",1,3.02/5,-,7.0,7.0
0,No description available,6.0%,,,,,Amber Ale,https://www.ratebeer.com/beer/al-capone-amber-ale/405367/,Al Capone Cerveja Artesenal,180,40,Al Capone Amber Ale,-,,,,,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_405367",Ratings,-/5,-,,
1,No description available,6.7%,3.5,3.5,7.5,7.5,India Pale Ale (IPA),https://www.ratebeer.com/beer/al-capone-ipa/405369/,Al Capone Cerveja Artesenal,201,62,Al Capone IPA,-,13.5,13.5,3.5,3.5,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_405369",1,2.94/5,-,7.0,7.0
2,No description available,5.5%,,,,,American Pale Ale,https://www.ratebeer.com/beer/al-capone-pale-ale/405364/,Al Capone Cerveja Artesenal,165,30,Al Capone Pale Ale,-,,,,,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_405364",Ratings,-/5,-,,
3,No description available,6.5%,3.0,3.0,5.0,5.0,Amber Ale,https://www.ratebeer.com/beer/al-capone-red-ale/405368/,Al Capone Cerveja Artesenal,195,18,Al Capone Red Ale,-,15.0,15.0,4.0,4.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_405368",Ratings,-/5,-,7.0,7.0
4,No description available,5.5%,3.0,3.0,6.0,6.0,German Hefeweizen,https://www.ratebeer.com/beer/al-capone-weisse/405365/,Al Capone Cerveja Artesenal,165,12,Al Capone Weisse,-,12.0,12.0,3.0,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_405365",1,2.94/5,-,6.0,6.0
5,No description available,5.0%,3.0,3.0,6.0,6.0,Witbier,https://www.ratebeer.com/beer/al-capone-witbier/405366/,Al Capone Cerveja Artesenal,150,11,Al Capone Witbier,-,13.0,13.0,3.0,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_405366",1,2.96/5,-,6.0,6.0
0,No description available,5.0%,3.0,3.0,7.0,7.0,Dunkler Bock,https://www.ratebeer.com/beer/steinecker-bock/430270/,ALIBRAS,150,-,Steinecker Bock,-,10.0,10.0,3.0,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_430270",1,2.85/5,-,3.0,3.0
0,"Released in March 2016, the PRIMA BESTIA is based on American Pale Ale style. American hops were used to provide citrus flavor and aroma that remind a light passion fruit, the bitterness is present and balanced, a perfect combination with the smoked malt which gives a unique flavor. Already the label contains a fantastic illustration of the gaucho artist WALTER PAX.",5.1%,,,,,Smoked,https://www.ratebeer.com/beer/altiva-prima-bestia/436775/,Altiva,153,37,Altiva Prima Bestia,-,,,,,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_436775",Ratings,-/5,-,,
0,No description available,7.2%,3.2,3.0,6.0,6.5,Foreign Stout,https://www.ratebeer.com/beer/amazon-beer-acai-stout/195584/,Amazon Beer,216,-,Amazon Beer Açaí Stout,58,12.7,13.5,3.0,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_195584",63,3.28/5,32,5.9,6.0
1,No description available,5.7%,3.5,3.0,6.7,7.0,Spice/Herb/Vegetable,https://www.ratebeer.com/beer/amazon-beer-cumaru-ipa/195588/,Amazon Beer,171,-,Amazon Beer Cumaru IPA,39,12.6,12.5,3.1,3.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_195588",19,3.02/5,45,6.7,6.5
